Recommendation Area,Policy Number,Policy Description,Strategy Number,Strategy,Timeline,Status,Implementor 1,Implementor 2,Implementor 3,Implementor 4,Implementor 5,Implementor 6,
"Historic, Archaeological, and Cultural Resources",1,Protect to the greatest extent practicable the significant historic and archaeological resources in the community.,1.1,"For known historic archeological sites and areas sensitive to prehistoric archeology, through local land use ordinances require subdivision or non-residential developers to take appropriate measures to protect those resources, including but not limited to, modification of the proposed site design, construction timing, and/or extent of excavation.",Ongoing,Need Update,Town Manager,Town Planner,Planning Board,CEO,,,#N/A
"Historic, Archaeological, and Cultural Resources",1,Protect to the greatest extent practicable the significant historic and archaeological resources in the community.,1.2,Adopt or amend land use ordinances to require the planning board (or other designated review authority) to incorporate maps and information provided by the Maine Historic Preservation Commission into their review process.,Mid-term,Need Update,Town Manager,Town Planner,Planning Board,Town Council,,,#N/A
"Historic, Archaeological, and Cultural Resources",1,Protect to the greatest extent practicable the significant historic and archaeological resources in the community.,1.3,"Work with the local or county historical society and/or the Maine Historic Preservation Commission to assess the need for, and if necessary, plan for, a comprehensive community survey of the community’s historic and archaeological resources.",Long term,Need Update,Town Manager,Town Planner,Planning Board,,,,#N/A
"Historic, Archaeological, and Cultural Resources",2,Continue efforts to preserve Winthrop’s history.,2.1,Continue inventorying the materials and documents donated to the town and stored at various municipal locations.,Ongoing,Need Update,Winthrop Maine Historic Society,,,,,,#N/A
"Historic, Archaeological, and Cultural Resources",2,Continue efforts to preserve Winthrop’s history.,2.2,"Continue effort to sort, catalogue, and document items that have been donated to the Society.",Ongoing,Need Update,Winthrop Maine Historic Society,,,,,,#N/A
"Historic, Archaeological, and Cultural Resources",2,Continue efforts to preserve Winthrop’s history.,2.3,"Continue working to digitize all historic materials and documents, when possible, for ease of access.",Ongoing,Need Update,Winthrop Maine Historic Society,,,,,,#N/A
"Historic, Archaeological, and Cultural Resources",3,Continue to support the WMHS’s efforts to raise awareness and interest in town history.,3.1,"Continue fundraisers, historical walking tours and cemetery tours, lecture series, new family events, active social media postings and more to create excitement and involvement about Winthrop’s history to continue to engage the community to be more involved in the town’s history.",Ongoing,Need Update,Winthrop Maine Historic Society,,,,,,#N/A
"Historic, Archaeological, and Cultural Resources",3,Continue to support the WMHS’s efforts to raise awareness and interest in town history.,3.2,Consider initiating an oral history project and collect records for preservation by enlisting high school English and/or History departments for both curriculum development and community service time.,Ongoing,Need Update,Winthrop Maine Historic Society,Winthrop Public Schools,,,,,#N/A
"Historic, Archaeological, and Cultural Resources",4,Work with Maine State Historic Preservation to conduct a study on the Civil War statute located in front of the former Town Hall.,4.1,Conduct a study on the Civil War statue located in front of the former Town Hall.,Mid-term,Need Update,Winthrop Maine Historic Society,,,,,,#N/A
"Historic, Archaeological, and Cultural Resources",5,The town recognizes the importance of buildings and sites of historic significance and looks to encourage and support the Winthrop Maine Historic Society in further developing historic listings.,5.1,Conduct a comprehensive inventory of historical buildings in Winthrop for potential identification and inclusion on state or federal historic listings.,Mid-term,Need Update,Winthrop Maine Historic Society,,,,,,#N/A
